date,time,t1,h1,t2,h2,t3,h3
2020-01-04,12:05:46, 71.24,29.4,72.14,29.0,71.78,30.0 
2020-01-04,12:05:52, 71.24,29.4,72.14,30.6,71.78,30.0 
2020-01-04,12:06:00, 71.24,29.4,72.14,30.6,71.78,30.0 
2020-01-04,12:06:06, 71.24,29.4,72.14,30.6,71.78,30.0 
2020-01-04,12:06:11, 71.24,29.5,72.14,30.7,71.06,30.0 
2020-01-04,12:06:19, 71.06,29.4,72.14,30.6,71.78,30.0 
2020-01-04,12:06:25, 59.54,29.5,72.14,30.7,71.78,30.0 
2020-01-04,12:06:31, 71.06,29.5,71.96,30.6,71.78,30.0 
2020-01-04,12:06:37, 71.06,29.5,71.96,30.6,71.78,30.0 
2020-01-04,12:06:42, 71.06,29.5,72.14,30.7,71.78,30.0 
2020-01-04,12:06:48, 71.06,29.5,71.96,31.0,71.78,30.0 
2020-01-04,12:06:58, 71.06,29.5,71.96,30.6,71.78,30.0 
2020-01-04,12:07:04, 71.06,29.5,72.14,30.7,71.78,30.0 
2020-01-04,12:07:10, 71.06,29.6,72.14,30.7,71.60,29.6 
2020-01-04,12:07:16, 71.06,29.6,71.96,30.6,71.60,30.0 
2020-01-04,12:07:21, 71.06,29.6,71.96,30.6,71.60,30.0 
2020-01-04,12:07:27, 70.88,29.6,71.96,30.7,71.78,30.1 
2020-01-04,12:07:33, 70.88,29.6,71.96,30.7,71.60,30.0 
2020-01-04,12:07:41, 71.06,4.0,71.96,30.7,71.60,30.0 
2020-01-04,12:07:47, 71.06,29.6,71.96,30.7,71.60,30.0 
2020-01-04,12:07:55, 70.88,29.6,71.96,30.7,70.16,30.1 
2020-01-04,12:08:01, 70.88,29.6,71.96,30.7,71.60,30.1 
2020-01-04,12:08:08, 70.88,29.7,71.96,30.7,71.60,30.1 
2020-01-04,12:08:14, 70.88,29.7,71.96,30.7,71.60,30.0 
2020-01-04,12:08:24, 70.88,29.7,71.96,30.7,71.60,30.1 
2020-01-04,12:08:30, 70.88,29.7,71.96,30.7,71.60,30.1 
2020-01-04,12:08:36, 70.88,29.7,71.96,30.7,71.60,30.1 
2020-01-04,12:08:43, 70.88,29.7,71.96,30.7,71.60,30.1 
2020-01-04,12:08:49, 70.88,29.7,71.96,30.8,71.60,30.3 
2020-01-04,12:08:55, 70.88,29.7,71.96,30.8,71.60,30.1 
2020-01-04,12:09:01, 70.88,29.7,71.96,30.8,71.60,30.1 
2020-01-04,12:09:07, 70.88,29.7,71.96,30.8,70.16,30.1 
2020-01-04,12:09:12, 70.88,29.7,71.96,30.7,71.60,30.1 
2020-01-04,12:09:20, 70.88,29.7,71.96,30.7,60.08,30.1 
2020-01-04,12:09:26, 70.88,29.7,71.96,27.5,71.60,30.1 
2020-01-04,12:09:32, 70.88,29.7,71.96,30.8,71.60,30.1 
2020-01-04,12:09:40, 70.88,29.7,71.96,30.8,71.60,30.1 
2020-01-04,12:09:46, 70.88,29.7,71.96,30.8,71.60,30.1 
2020-01-04,12:09:54, 70.88,29.7,71.96,30.8,71.78,30.1 
2020-01-04,12:09:59, 70.70,29.7,71.96,30.8,71.60,30.1 
2020-01-04,12:10:09, 70.88,29.7,71.96,30.8,71.60,30.1 
2020-01-04,12:10:17, 70.88,29.8,71.96,30.8,71.60,30.1 
2020-01-04,12:10:25, 70.70,29.7,71.96,30.8,71.60,30.1 
2020-01-04,12:10:35, 70.70,29.7,71.96,30.8,71.60,30.1 
2020-01-04,12:10:41, 70.70,29.7,71.96,30.8,71.60,30.1 
2020-01-04,12:10:51, 70.34,29.7,71.96,30.8,71.60,30.1 
2020-01-04,12:10:56, 70.70,29.7,71.96,30.8,71.60,30.1 
2020-01-04,12:11:04, 70.70,29.7,71.96,30.8,71.60,30.1 
2020-01-04,12:11:12, 70.70,31.3,71.96,30.7,71.60,30.1 
2020-01-04,12:11:18, 70.70,29.7,71.96,30.7,71.60,30.1 
2020-01-04,12:11:24, 70.70,29.8,71.96,30.8,71.42,81.3 
2020-01-04,12:11:29, 70.70,29.8,71.96,30.8,71.60,30.1 
2020-01-04,12:11:35, 70.70,29.8,71.96,30.8,71.60,30.1 
2020-01-04,12:11:43, 70.70,29.8,71.96,30.8,71.60,30.1 
2020-01-04,12:11:49, 70.70,29.8,71.96,30.8,71.60,30.1 
2020-01-04,12:11:55, 70.70,29.8,71.96,30.8,71.60,30.1 
2020-01-04,12:12:00, 70.70,29.8,71.96,29.9,71.42,30.1 
2020-01-04,12:12:06, 70.70,29.8,71.96,30.8,71.60,30.1 
2020-01-04,12:12:14, 70.70,29.8,71.96,30.8,71.60,30.1 
